"","Home.Type","Year","Living.Area","Area.Units","Bathrooms","Bedrooms","Garage","Levels","Pool","Spa","Price"
"749","Single Family",1941,773,"Acres",1,1,"0",0,"1","0",95000
"750","Single Family",1941,773,"Acres",1,1,"0",0,"1","0",95000
"751","Single Family",1941,773,"Acres",1,1,"0",0,"1","0",95000
"752","Single Family",1941,773,"Acres",1,1,"0",0,"1","0",95000
"753","Single Family",1983,1425,"Acres",2,3,"1",1.5,"1","0",378000
"754","Single Family",1906,2903,"Acres",4,4,"0",1,"0","0",199000
"755","Single Family",2005,5805,"Acres",5,5,"1",4,"1","1",1159000
"756","Single Family",1975,1496,"Acres",2,4,"0",1,"0","1",64000
"757","Single Family",1960,1368,"Acres",3,4,"1",1,"0","0",280000
"758","Single Family",2007,2738,"Acres",4,4,"1",2,"0","0",407000
"759","Single Family",1990,2659,"Acres",3,3,"1",2,"0","0",450000
"760","Single Family",1990,2659,"Acres",3,3,"1",2,"0","0",450000
"761","Single Family",1990,2659,"Acres",3,3,"1",2,"0","0",450000
"762","Single Family",1990,2659,"Acres",3,3,"1",2,"0","0",450000
"763","Single Family",2006,5327,"Acres",5,5,"1",2,"0","0",759900
"764","Single Family",1994,3046,"Acres",4,4,"1",2,"0","1",485000
"765","Single Family",1960,924,"Acres",1,2,"0",1,"0","0",74500
"766","Single Family",2000,4489,"Acres",5,6,"1",1.5,"0","1",524900
"767","Single Family",2007,2854,"Acres",4,4,"1",2,"0","0",415000
"768","Single Family",1990,2483,"Acres",3,4,"1",2,"1","1",435000
"769","Single Family",2000,4600,"Acres",4,5,"1",1,"0","0",674500
"770","Single Family",2019,3027,"Acres",4,4,"1",1.5,"0","0",525000
"771","Single Family",1962,1983,"Acres",2,3,"1",1,"0","0",499900
"772","Single Family",1962,1983,"Acres",2,3,"1",1,"0","0",499900
"773","Single Family",1962,1983,"Acres",2,3,"1",1,"0","0",499900
"774","Single Family",1962,1983,"Acres",2,3,"1",1,"0","0",499900
"775","Single Family",1998,1144,"Acres",2,3,"0",1,"0","0",125000
"776","Single Family",1983,1512,"Acres",2,3,"0",2,"0","0",285000
"777","Single Family",1992,6103,"Acres",5,5,"1",4,"0","0",679000
"778","Single Family",1978,1659,"Acres",2,3,"1",1,"0","0",209900
"779","Single Family",1990,1540,"Acres",3,2,"0",0,"0","0",649900
"780","Single Family",1940,1944,"Acres",2,4,"0",0,"0","0",255000
"781","Single Family",1940,1944,"Acres",2,4,"0",0,"0","0",255000
"782","Single Family",1940,1944,"Acres",2,4,"0",0,"0","0",255000
"783","Single Family",1940,1944,"Acres",2,4,"0",0,"0","0",255000
"784","Single Family",1976,4420,"Acres",4,3,"1",1,"0","0",474900
"785","Single Family",1994,2146,"Acres",3,4,"1",2,"0","0",309900
"786","Single Family",2021,3410,"Acres",4,4,"1",2,"0","0",1250000
"787","Single Family",2003,5321,"Acres",5,6,"1",4,"0","1",670300
"788","Single Family",2004,3942,"Acres",3,5,"1",2,"0","0",469900
"789","Single Family",1990,1501,"Acres",2,3,"0",1,"0","0",114900
"790","Single Family",1985,3076,"Acres",3,4,"1",2,"0","0",495000
"791","Single Family",1967,1250,"Acres",2,3,"0",0,"0","0",124900
"792","Single Family",1999,2800,"Acres",4,6,"1",2,"0","0",339000
"793","Single Family",1999,2800,"Acres",4,6,"1",2,"0","0",339000
"794","Single Family",1999,2800,"Acres",4,6,"1",2,"0","0",349000
"795","Single Family",1999,2800,"Acres",4,6,"1",2,"0","0",349000
"796","Single Family",1995,8084,"Acres",6,5,"1",2,"1","1",1100000
"797","Single Family",1895,2278,"Acres",2,3,"1",1,"0","0",259900
"798","Single Family",1974,2696,"Acres",2,4,"0",1,"0","0",245000
"799","Single Family",1983,1308,"Acres",2,3,"1",1,"0","0",225000
"800","Single Family",1994,2640,"Acres",2,3,"1",1,"0","0",199900
"801","Single Family",1971,1512,"Acres",2,4,"1",1,"0","0",135000
"802","Single Family",2021,1516,"Acres",2,3,"1",1,"0","0",299900
"803","Single Family",2021,1586,"Acres",2,3,"1",1,"0","0",229900
"804","Single Family",2007,2550,"Acres",3,3,"0",0,"0","0",525000
"805","Single Family",2016,2986,"Acres",3,5,"1",2,"0","0",389900
"806","Single Family",1985,6260,"Acres",6,6,"1",4,"0","0",1250000
"807","Single Family",1979,2179,"Acres",2,3,"0",1,"0","1",265000
"808","Single Family",1915,1181,"Acres",1,1,"0",1,"0","0",103000
"809","Single Family",2000,1326,"Acres",2,3,"0",2,"0","0",275000
"810","Single Family",1982,1680,"Acres",2,3,"1",1,"0","0",329900
"811","Single Family",2004,1635,"Acres",2,3,"0",0,"0","0",250000
"812","Single Family",1943,1300,"Acres",2,3,"0",1,"0","0",269900
"813","Single Family",1943,1300,"Acres",2,3,"0",1,"0","0",269900
"814","Single Family",1943,1300,"Acres",2,3,"0",1,"0","0",269900
"815","Single Family",1943,1300,"Acres",2,3,"0",1,"0","0",269900
"816","Single Family",1989,2890,"Acres",3,3,"1",2,"0","0",299000
"817","Single Family",2012,3387,"Acres",3,4,"1",0,"0","0",565000
"818","Single Family",1987,1274,"Acres",2,3,"1",1,"0","0",235000
"819","Single Family",2021,1586,"Acres",2,3,"1",1,"0","0",229900
"820","Single Family",1982,1072,"Acres",2,2,"0",0,"0","0",299000
"821","Single Family",2010,1665,"Acres",2,3,"1",1,"0","0",199900
"822","Single Family",1969,1096,"Acres",1,3,"0",1,"0","0",40000
"823","Single Family",1985,1945,"Acres",2,3,"0",1.5,"0","0",250000
"824","Single Family",2021,2020,"Acres",3,3,"1",2,"0","0",345000
"825","Single Family",1995,4423,"Acres",7,5,"1",2,"0","1",899000
"826","Single Family",2006,6074,"Acres",8,6,"1",2,"1","0",2950000
"827","Single Family",2006,6074,"Acres",8,6,"1",2,"1","0",2950000
"828","Single Family",2006,6074,"Acres",8,6,"1",2,"1","0",2950000
"829","Single Family",2006,6074,"Acres",8,6,"1",2,"1","0",2950000
"830","Single Family",1965,3053,"Acres",3,4,"1",1,"0","0",589000
"831","Single Family",1989,4400,"Acres",3,4,"0",1.5,"0","0",439900
"832","Single Family",1986,3209,"Acres",4,4,"1",2,"0","0",925000
"833","Single Family",2012,2901,"Acres",4,5,"1",3,"0","0",298000
"834","Single Family",1964,2445,"Acres",2,3,"1",1,"0","1",225000
"835","Single Family",1965,2050,"Acres",2,4,"0",0,"1","0",159000
"836","Single Family",1950,1922,"Acres",3,4,"0",2,"0","0",290000
"837","Single Family",1990,2622,"Acres",3,5,"0",1,"0","0",109900
"838","Single Family",1996,2173,"Acres",2,4,"0",0,"0","0",309900
"839","Single Family",1970,2652,"Acres",4,5,"1",2,"0","0",650000
"840","Lot",2018,3987,"Acres",0,3,"0",0,"0","0",51500
"841","Single Family",1981,1166,"Acres",2,3,"1",1,"0","0",275000
"842","Single Family",1945,900,"Acres",1,2,"0",0,"0","0",69000
"843","Single Family",2005,2751,"Acres",3,4,"0",0,"0","0",399000
"844","Single Family",1959,1571,"Acres",2,3,"0",1,"0","0",169000
"845","Single Family",1959,1571,"Acres",2,3,"0",1,"0","0",169000
"846","Single Family",1959,1571,"Acres",2,3,"0",1,"0","0",169000
"847","Single Family",1959,1571,"Acres",2,3,"0",1,"0","0",169000
"848","Single Family",1999,3015,"Acres",4,4,"1",2,"0","0",729900
"849","Single Family",1999,3015,"Acres",4,4,"1",2,"0","0",729900
"850","Single Family",1999,3015,"Acres",4,4,"1",2,"0","0",729900
"851","Single Family",1999,3015,"Acres",4,4,"1",2,"0","0",729900
"852","Single Family",2021,4495,"Acres",6,6,"1",2,"0","0",999900
"853","Single Family",2005,8365,"Acres",5,5,"1",2,"0","0",945000
"854","Single Family",1998,2213,"Acres",3,3,"0",3,"0","0",237000
"855","Single Family",1979,6604,"Acres",6,4,"0",2,"0","0",1400000
"856","Single Family",1979,6604,"Acres",6,4,"0",2,"0","0",1400000
"857","Single Family",1992,2487,"Acres",4,4,"1",1,"0","0",275000
"858","Single Family",1981,2896,"Acres",4,3,"1",2,"0","0",325000
"859","Single Family",2001,2104,"Acres",2,3,"1",1,"0","0",249900
"860","Single Family",2021,1669,"Acres",2,3,"0",0,"0","0",245500
"861","Single Family",2014,3295,"Acres",3,5,"1",2,"0","0",329900
"862","Single Family",2000,1808,"Acres",2,3,"1",0,"0","0",1300
"863","Lot",2000,2222,"Acres",0,3,"0",0,"0","0",22000
"864","Single Family",1979,420,"Acres",1,2,"0",1,"0","0",239900
"865","Single Family",1978,1880,"Acres",2,3,"1",1,"0","0",415000
"866","Single Family",1950,906,"Acres",1,3,"0",0,"0","0",50000
"867","Single Family",1940,1241,"Acres",1,3,"0",0,"0","0",84900
"868","Single Family",1940,1241,"Acres",1,3,"0",0,"0","0",84900
"869","Single Family",1940,1241,"Acres",1,3,"0",0,"0","0",84900
"870","Single Family",1940,1241,"Acres",1,3,"0",0,"0","0",84900
"871","Single Family",1962,2279,"Acres",3,4,"0",2,"0","0",575000
"872","Single Family",1962,2279,"Acres",3,4,"0",2,"0","0",575000
"873","Single Family",1962,2279,"Acres",3,4,"0",2,"0","0",575000
"874","Single Family",1962,2279,"Acres",3,4,"0",2,"0","0",575000
"875","Single Family",1977,1977,"Acres",2,3,"0",0,"0","0",174900
"876","Single Family",1950,1900,"Acres",2,4,"0",1,"0","0",30000
"877","Single Family",1965,2587,"Acres",3,4,"1",2,"0","0",300000
"878","Single Family",1950,916,"Acres",1,3,"0",0,"0","0",65000
"879","Single Family",1949,1751,"Acres",2,4,"1",2,"0","0",269000
"880","Single Family",2006,5132,"Acres",5,5,"1",0,"1","0",995000
"881","Single Family",1995,2105,"Acres",3,4,"1",0,"1","0",0
"882","Single Family",1950,1212,"Acres",1,3,"0",0,"0","0",55000
"883","Single Family",1950,1212,"Acres",1,3,"0",0,"0","0",55000
"884","Single Family",1950,1212,"Acres",1,3,"0",0,"0","0",55000
"885","Single Family",1950,1212,"Acres",1,3,"0",0,"0","0",55000
"886","Single Family",2001,2866,"Acres",2,3,"0",0,"0","0",425000
"887","Single Family",2006,3016,"Acres",4,3,"1",2,"0","0",489000
"888","Single Family",1969,1274,"Acres",2,3,"0",0,"0","0",119900
"889","Single Family",2000,4176,"Acres",3,4,"1",1,"0","0",499000
"890","Single Family",1997,3460,"Acres",4,4,"1",2,"1","1",540000
"891","Single Family",1997,3460,"Acres",4,4,"1",2,"1","1",540000
"892","Single Family",1997,3460,"Acres",4,4,"1",2,"1","1",540000
"893","Single Family",1997,3460,"Acres",4,4,"1",2,"1","1",540000
"894","Single Family",2005,2212,"Acres",2,3,"1",1,"0","0",440000
"895","Single Family",1971,3100,"Acres",2,3,"0",1,"0","1",639000
"896","Single Family",1959,1189,"Acres",1,3,"0",1,"0","0",222900
"897","Single Family",1985,3198,"Acres",3,3,"0",0,"0","0",789500
"898","Single Family",1991,1820,"Acres",3,3,"0",2,"0","0",284900
"899","Single Family",2021,5936,"Acres",5,4,"1",2,"1","1",2150000
"900","Single Family",2021,5936,"Acres",5,4,"1",2,"1","1",2150000
"901","Single Family",2021,5936,"Acres",5,4,"1",2,"1","1",2150000
"902","Single Family",2021,5936,"Acres",5,4,"1",2,"1","1",2150000
"903","Single Family",1985,3500,"Acres",5,4,"1",4,"0","0",899000
"904","Single Family",1972,1486,"Acres",2,3,"0",0,"0","0",115000
"905","Single Family",1989,2312,"Acres",3,4,"1",2,"0","0",299900
"906","Single Family",1982,1660,"Acres",2,4,"1",2,"0","0",189900
"907","Single Family",1963,3076,"Acres",2,3,"0",0,"0","0",199900
"908","Single Family",1979,3736,"Acres",5,5,"0",0,"1","0",399900
"909","Single Family",1972,2673,"Acres",3,5,"1",1.5,"0","1",624900
"910","Single Family",1967,2016,"Acres",2,4,"0",1,"0","0",89000
"911","Single Family",1987,4544,"Acres",4,4,"1",2,"0","0",450000
"912","Single Family",1947,1947,"Acres",2,3,"0",0,"0","0",60000
"913","Single Family",1979,2501,"Acres",3,3,"0",0,"0","0",255000
"914","Single Family",1973,980,"Acres",2,5,"1",2,"0","0",210000
"915","Single Family",2009,2362,"Acres",3,5,"0",0,"0","0",215000
"916","Single Family",1977,2193,"Acres",3,3,"0",1,"0","0",325000
"917","Single Family",1977,2193,"Acres",3,3,"0",1,"0","0",325000
"918","Single Family",1977,2193,"Acres",3,3,"0",1,"0","0",325000
"919","Single Family",1977,2193,"Acres",3,3,"0",1,"0","0",325000
"920","Single Family",2007,7073,"Acres",7,5,"1",3,"0","0",1650000
"921","Single Family",2005,1752,"Acres",2,3,"0",0,"0","0",199900
"922","Single Family",2000,3358,"Acres",4,5,"1",1.5,"0","0",435900
"923","Single Family",1989,2508,"Acres",3,4,"1",2,"0","0",239900
"924","Single Family",1986,3622,"Acres",3,5,"1",2,"0","1",550000
"925","Single Family",1960,1668,"Acres",2,3,"0",0,"0","0",349900
"926","Single Family",2005,1583,"Acres",2,3,"0",0,"0","0",299900
"927","Single Family",2021,1605,"Acres",2,3,"1",0,"0","0",223900
"928","Single Family",1979,1920,"Acres",3,3,"0",2,"0","0",325000
"929","Single Family",2000,2970,"Acres",3,3,"1",0,"0","0",549000
"930","Single Family",2007,2295,"Acres",3,4,"1",2,"1","1",319900
"931","Single Family",1930,1074,"Acres",1,3,"0",1,"0","0",42000
"932","Single Family",1972,1640,"Acres",2,3,"1",1,"1","0",160000
"933","Single Family",1992,1086,"Acres",2,3,"1",1,"0","0",165000
"934","Single Family",1963,2160,"Acres",3,4,"1",2,"0","0",325000
"935","Single Family",2021,3494,"Acres",3,4,"1",1,"0","0",699900
"936","Single Family",2001,3971,"Acres",3,4,"1",1.5,"0","1",450000
"937","Single Family",1985,5175,"Acres",4,4,"1",2,"0","0",854900
"938","Single Family",1983,1690,"Acres",2,2,"0",1,"0","0",229900
"939","Single Family",2006,5123,"Acres",5,6,"1",4,"0","0",650000
"940","Single Family",1961,2112,"Acres",3,3,"0",0,"0","0",245000
"941","Single Family",2006,1765,"Acres",3,4,"0",2,"0","1",269900
"942","Single Family",1986,3256,"Acres",4,4,"1",2,"0","0",575000
"943","Single Family",1999,1512,"Acres",2,3,"0",1,"0","0",179901
"944","Single Family",1976,1440,"Acres",2,4,"0",2,"0","0",199900
"945","Single Family",1998,2128,"Acres",2,4,"0",1,"0","0",149900
"946","Single Family",1961,2112,"Acres",3,3,"1",1,"0","0",245000
"947","Single Family",1975,4702,"Acres",5,5,"1",3,"1","0",495000
"948","Single Family",2021,1500,"Acres",2,3,"0",1,"0","0",90000
"949","Single Family",1954,1817,"Acres",2,3,"0",1.5,"0","0",249000
"950","Single Family",1954,1817,"Acres",2,3,"0",1.5,"0","0",249000
"951","Single Family",1954,1817,"Acres",2,3,"0",1.5,"0","0",249000
"952","Single Family",1954,1817,"Acres",2,3,"0",1.5,"0","0",249000
"953","Single Family",1988,3122,"Acres",4,5,"1",2,"0","0",369000
"954","Single Family",1978,4076,"Acres",4,5,"1",0,"0","0",239000
"955","Single Family",1996,2246,"Acres",2,3,"1",1,"0","0",315000
"956","Single Family",2005,5444,"Acres",6,5,"1",0,"0","0",795000
"957","Single Family",1985,1618,"Acres",2,3,"1",1.5,"0","0",195000
"958","Single Family",2021,1500,"Acres",2,3,"1",1,"0","0",284000
"959","Single Family",1960,1456,"Acres",1,3,"0",1,"0","0",199000
"960","Single Family",1984,1759,"Acres",2,3,"1",1,"0","0",425000
"961","Single Family",1953,2729,"Acres",4,3,"1",2,"0","0",680000
"962","Single Family",1944,852,"Acres",1,2,"0",1,"0","0",38000
"963","Single Family",1944,852,"Acres",1,2,"0",1,"0","0",38000
"964","Single Family",1944,852,"Acres",1,2,"0",1,"0","0",38000
"965","Single Family",1944,852,"Acres",1,2,"0",1,"0","0",38000
"966","Single Family",1968,1114,"Acres",2,3,"0",1,"0","0",149000
"967","Single Family",2019,2919,"Acres",3,4,"1",2,"0","0",344900
"968","Single Family",1962,1000,"Acres",1,3,"0",1,"0","0",119900
"969","Single Family",1962,1000,"Acres",1,3,"0",1,"0","0",119900
"970","Single Family",1962,1000,"Acres",1,3,"0",1,"0","0",119900
"971","Single Family",1962,1000,"Acres",1,3,"0",1,"0","0",119900
"972","Single Family",1970,1215,"Acres",2,3,"0",0,"0","0",111000
"973","Single Family",1920,1100,"Acres",1,2,"1",1,"0","0",475000
"974","Single Family",1977,1152,"Acres",2,3,"1",1,"0","0",249900
"975","Single Family",1983,2818,"Acres",3,4,"0",2,"0","0",150000
"976","Single Family",2002,4172,"Acres",5,5,"1",2,"0","1",725000
"977","Single Family",1996,1296,"Acres",2,3,"0",1,"0","0",295000
"978","Single Family",1975,2539,"Acres",3,3,"1",1,"0","0",384900
"979","Single Family",1989,2812,"Acres",4,4,"1",2,"0","0",359000
"980","Single Family",1970,600,"Acres",2,3,"0",1,"0","0",180000
"981","Single Family",1900,1320,"Acres",2,3,"1",1,"0","0",162500
"982","Single Family",1900,1320,"Acres",2,3,"1",1,"0","0",162500
"983","Single Family",1900,1320,"Acres",2,3,"1",1,"0","0",162500
"984","Single Family",1900,1320,"Acres",2,3,"1",1,"0","0",162500
"985","Single Family",1972,1571,"Acres",2,3,"1",1,"0","0",249900
"986","Single Family",1968,1674,"Acres",2,3,"0",1,"0","0",75000
"987","Single Family",1999,2628,"Acres",3,4,"1",4,"0","0",400000
"988","Single Family",1999,2628,"Acres",3,4,"1",4,"0","0",400000
"989","Single Family",1999,2628,"Acres",3,4,"1",4,"0","0",400000
"990","Single Family",1999,2628,"Acres",3,4,"1",4,"0","0",400000
"991","Single Family",2014,4107,"Acres",5,4,"0",0,"0","0",739900
"992","Single Family",1953,3360,"Acres",4,4,"1",1.5,"1","0",1175000
"993","Single Family",1992,2240,"Acres",3,6,"1",1,"0","1",799000
"994","Single Family",1968,1712,"Acres",3,3,"1",2,"0","0",409900
"995","Single Family",1968,2064,"Acres",3,4,"0",1.5,"0","0",235000
"996","Single Family",1973,1954,"Acres",3,3,"1",1,"0","0",227000
"997","Single Family",1900,2608,"Acres",2,5,"0",0,"0","0",119900
"998","Single Family",2004,3200,"Acres",3,5,"1",2,"0","0",320000
"999","Single Family",2006,2640,"Acres",3,3,"1",0,"0","1",625000
"1000","Single Family",2002,1500,"Acres",2,3,"1",1,"0","0",245000
"1001","Single Family",1945,1512,"Acres",2,3,"0",1,"0","0",1799900
"1002","Single Family",1987,5660,"Acres",6,6,"1",2,"0","0",599000
"1003","Single Family",2001,1676,"Acres",2,4,"0",0,"0","0",200000
"1004","Single Family",2006,2600,"Acres",3,3,"1",4,"1","1",349000
"1005","Single Family",2021,3100,"Acres",3,3,"1",0,"0","0",649444
"1006","Single Family",2000,2714,"Acres",4,4,"1",1.5,"0","1",379000
"1007","Single Family",2005,2589,"Acres",2,3,"1",1,"0","0",439900
"1008","Single Family",1993,2542,"Acres",3,4,"1",0,"0","0",200000
"1009","Single Family",1991,2596,"Acres",3,5,"1",2,"0","0",354999
"1010","Single Family",1981,2542,"Acres",3,4,"1",2,"0","0",500000
"1011","Single Family",2015,4018,"Acres",4,3,"1",2,"0","0",729000
"1012","Single Family",1991,7200,"Acres",6,5,"1",2,"1","0",950000
"1013","Single Family",1989,5145,"Acres",6,6,"1",4,"0","0",599000
"1014","Single Family",1999,2445,"Acres",3,4,"0",1.5,"0","1",385000
"1015","Single Family",1920,1395,"Acres",2,4,"0",1,"0","0",79900
"1016","Single Family",1998,1586,"Acres",2,3,"1",1,"0","0",265000
"1017","Single Family",1984,3175,"Acres",3,4,"1",1.5,"1","0",850000
"1018","Single Family",1948,1707,"Acres",1,3,"0",0,"0","0",58900
"1019","Single Family",1948,1707,"Acres",1,3,"0",0,"0","0",58900
"1020","Single Family",1948,1707,"Acres",1,3,"0",0,"0","0",58900
"1021","Single Family",1948,1707,"Acres",1,3,"0",0,"0","0",58900
"1022","Single Family",2003,7130,"Acres",6,4,"1",1.5,"0","1",1198500
"1023","Single Family",1965,1305,"Acres",1,3,"0",0,"0","0",95000
"1024","Single Family",1965,1305,"Acres",1,3,"0",0,"0","0",95000
"1025","Single Family",1965,1305,"Acres",1,3,"0",0,"0","0",95000
"1026","Single Family",1965,1305,"Acres",1,3,"0",0,"0","0",95000
"1027","Single Family",2017,1218,"Acres",2,3,"0",1,"0","0",275000
"1028","Single Family",1999,1400,"Acres",2,3,"1",1,"0","0",279900
"1029","Single Family",1960,3438,"Acres",5,5,"0",0,"1","0",485000
"1030","Single Family",1999,2892,"Acres",0,3,"0",0,"0","0",275000
"1031","Single Family",1993,4469,"Acres",9,5,"1",0,"1","1",1150000
"1032","Single Family",1942,1404,"Acres",1,2,"0",1,"0","0",153900
"1033","Single Family",1986,1680,"Acres",3,3,"0",1,"0","0",159900
"1034","Single Family",1986,1340,"Acres",3,3,"0",2,"0","0",425000
"1035","Single Family",1959,713,"Acres",1,2,"0",1,"0","0",115000
"1036","Single Family",1959,713,"Acres",1,2,"0",1,"0","0",115000
"1037","Single Family",1959,713,"Acres",1,2,"0",1,"0","0",115000
"1038","Single Family",1959,713,"Acres",1,2,"0",1,"0","0",115000
"1039","Single Family",2003,1679,"Acres",2,3,"1",1.5,"0","0",244000
"1040","Single Family",2007,1959,"Acres",2,3,"1",1,"0","1",225000
"1041","Single Family",1999,3828,"Acres",3,5,"1",1,"0","0",399900
"1042","Single Family",2008,2384,"Acres",3,4,"1",2,"0","0",349900
"1043","Single Family",2006,2212,"Acres",2,3,"1",1,"0","1",249000
"1044","Single Family",1978,1880,"Acres",2,4,"0",0,"0","0",135000
"1045","Single Family",2016,2996,"Acres",4,5,"1",4,"0","0",465000
"1046","Single Family",1948,7721,"Acres",5,5,"1",4,"0","0",2750000
"1047","Single Family",1948,7721,"Acres",5,5,"1",4,"0","0",2750000
"1048","Single Family",1948,7721,"Acres",5,5,"1",4,"0","0",2750000
"1049","Single Family",1948,7721,"Acres",5,5,"1",4,"0","0",2750000
"1050","Single Family",1975,1984,"Acres",3,4,"0",1.5,"0","0",178000
"1051","Single Family",2003,2188,"Acres",3,4,"1",2,"0","0",374900
"1052","Single Family",1977,1326,"Acres",2,4,"0",1,"0","0",275000
"1053","Single Family",2003,1800,"Acres",2,3,"0",0,"0","0",649000
"1054","Single Family",2021,1520,"Acres",2,4,"0",0,"0","0",199900
"1055","Condo",1983,816,"Acres",1,1,"0",1,"0","0",185000
"1056","Single Family",2003,4520,"Acres",4,6,"1",4,"0","1",545000
"1057","Single Family",2002,2400,"Acres",2,3,"1",1,"0","0",365000
"1058","Single Family",2007,2732,"Acres",5,4,"1",4,"0","0",799900
"1059","Single Family",2006,4615,"Acres",4,5,"1",2,"0","1",459900
"1060","Single Family",2001,2083,"Acres",3,3,"1",2,"0","0",295000
"1061","Multi Family",1890,4344,"Acres",6,7,"0",0,"0","0",309900
"1062","Multi Family",1890,4344,"Acres",6,7,"0",0,"0","0",309900
"1063","Multi Family",1890,4344,"Acres",6,7,"0",0,"0","0",309900
"1064","Multi Family",1890,4344,"Acres",6,7,"0",0,"0","0",309900
"1065","Single Family",2002,2073,"Acres",2,3,"0",0,"0","0",200000
"1066","Single Family",1923,2326,"Acres",3,3,"1",2,"0","0",775000
"1067","Single Family",2006,5100,"Acres",5,6,"1",2,"1","0",677300
"1068","Single Family",1930,1132,"Acres",1,3,"0",0,"0","0",190000
"1069","Single Family",1930,1132,"Acres",1,3,"0",0,"0","0",190000
"1070","Single Family",2006,1796,"Acres",2,4,"1",1,"0","0",265900
"1071","Single Family",2005,5109,"Acres",4,4,"1",1.5,"1","0",684900
"1072","Single Family",2019,1200,"Acres",2,1,"0",1,"0","0",950000
"1073","Single Family",1930,3116,"Acres",3,4,"0",2,"0","0",385000
"1074","Single Family",1999,5431,"Acres",6,6,"1",4,"1","1",775000
"1075","Single Family",2001,1482,"Acres",2,3,"0",1,"0","0",160000
"1076","Single Family",1998,2392,"Acres",3,4,"1",1,"0","0",339000
"1077","Single Family",1998,2392,"Acres",3,4,"1",1,"0","0",339000
"1078","Single Family",1998,2392,"Acres",3,4,"1",1,"0","0",339000
"1079","Single Family",1998,2392,"Acres",3,4,"1",1,"0","0",339000
"1080","Single Family",1963,800,"Acres",1,2,"0",0,"0","0",169800
"1081","Single Family",2014,1899,"Acres",3,4,"1",2,"0","0",299900
"1082","Single Family",2003,2318,"Acres",3,3,"1",2,"0","0",305000
"1083","Single Family",1948,964,"Acres",1,3,"0",1,"0","0",115000
"1084","Single Family",1948,964,"Acres",1,3,"0",1,"0","0",115000
"1085","Single Family",1948,964,"Acres",1,3,"0",1,"0","0",115000
"1086","Single Family",1948,964,"Acres",1,3,"0",1,"0","0",115000
"1087","Single Family",2015,1558,"Acres",2,4,"0",2,"0","0",449900
"1088","Single Family",1999,4513,"Acres",5,5,"1",2,"0","0",839000
"1089","Single Family",2004,1874,"Acres",3,3,"1",2,"0","0",289900
"1090","Single Family",2004,1874,"Acres",3,3,"1",2,"0","0",289900
"1091","Single Family",2004,1874,"Acres",3,3,"1",2,"0","0",289900
"1092","Single Family",2004,1874,"Acres",3,3,"1",2,"0","0",289900
"1093","Single Family",1965,1188,"Acres",2,3,"0",1,"0","0",115900
"1094","Single Family",2020,6950,"Acres",5,5,"1",4,"1","0",2499999
"1095","Single Family",2020,6950,"Acres",5,5,"1",4,"1","0",2499999
"1096","Single Family",2020,6950,"Acres",5,5,"1",4,"1","0",2499999
"1097","Single Family",2020,6950,"Acres",5,5,"1",4,"1","0",2499999
"1098","Single Family",1958,1147,"Acres",2,3,"0",1,"0","0",219900
"1099","Single Family",1954,3000,"Acres",3,4,"1",1,"0","1",297000
"1100","Single Family",1995,2614,"Acres",3,6,"1",2,"0","0",350000
"1101","Single Family",2017,2096,"Acres",3,3,"1",1,"0","0",394900
"1102","Single Family",1900,2873,"Acres",2,4,"0",0,"0","0",187000
"1103","Single Family",1976,1469,"Acres",2,4,"1",1,"0","0",289900
"1104","Single Family",1976,1469,"Acres",2,4,"1",1,"0","0",289900
"1105","Single Family",1976,1469,"Acres",2,4,"1",1,"0","0",289900
"1106","Single Family",1976,1469,"Acres",2,4,"1",1,"0","0",289900
"1107","Single Family",2006,1771,"Acres",2,3,"1",1,"0","0",254975
"1108","Single Family",1993,1440,"Acres",2,4,"0",1,"0","0",189900
"1109","Single Family",1998,1814,"Acres",2,3,"0",1.5,"0","0",139900
"1110","Single Family",2002,1962,"Acres",2,3,"0",1,"0","0",242000
"1111","Single Family",1946,2200,"Acres",4,3,"0",1,"0","0",399000
"1112","Single Family",1959,1392,"Acres",2,3,"0",1,"0","0",240000
"1113","Single Family",2004,1749,"Acres",2,3,"1",1.5,"0","0",229999
"1114","Single Family",2003,2709,"Acres",3,5,"0",2,"1","0",325000
"1115","Single Family",2003,1497,"Acres",2,3,"1",0,"0","0",699000
"1116","Single Family",1930,2799,"Acres",4,4,"0",2,"1","0",529900
"1117","Single Family",2010,2532,"Acres",3,5,"1",2,"0","0",253000
"1118","Single Family",2005,4834,"Acres",5,6,"1",2,"0","1",569900
"1119","Single Family",1970,1734,"Acres",4,3,"1",1,"0","0",369000
"1120","Single Family",1989,1700,"Acres",2,3,"0",0,"0","0",218000
"1121","Single Family",2006,4968,"Acres",6,7,"1",2,"0","0",585000
"1122","Single Family",2011,3221,"Acres",3,5,"1",1.5,"1","0",474000
"1123","Single Family",1981,1532,"Acres",3,3,"0",2,"0","0",185000
"1124","Single Family",1993,1868,"Acres",2,4,"0",0,"0","0",239900
"1125","Single Family",2001,3082,"Acres",3,4,"1",0,"0","0",299900
"1126","Single Family",1970,1449,"Acres",2,3,"0",0,"0","0",179900
"1127","Single Family",1903,1704,"Acres",2,4,"0",1,"0","0",154500
"1128","Single Family",1973,3236,"Acres",4,3,"0",0,"0","0",625000
"1129","Single Family",2008,1456,"Acres",2,3,"0",1,"0","1",145000
"1130","Single Family",2004,2322,"Acres",3,3,"0",2,"0","0",350000
